Country,Population Rank,Growth Rate,World Percentage,Density,Land Area,2020 Population Rank,2020 World Percentage,2020 Growth Rate,Area,Capital City,Region,Subregion,Anthem,Government,GDP (IMF),GDP (UN),GDP Per Capita
Japan,11,-0.30%,1.62%,334.66,"364,555",11,1.62%,-0.30%,"377,930",Tokyo,Asia,Eastern Asia,Japan,Japan,$5.50 Tn,$4.94 Tn,"$43,450.14"
Mauritania,127,2.74%,0.06%,4.51,"1,030,700",127,0.06%,2.74%,"1,030,700",Nouakchott,Africa,Western Africa,,,$5.70 Bn,$4.67 Bn,"$1,225.25"
Cape Verde,172,1.10%,0.01%,137.86,"4,030",172,0.01%,1.10%,"4,033",Praia,Africa,Western Africa,,,$2.21 Bn,$1.64 Bn,"$3,971.32"
Tunisia,79,1.06%,0.15%,72.24,"155,360",79,0.15%,1.06%,"163,610",Tunis,Africa,Northern Africa,,,$35.15 Bn,$41.70 Bn,"$2,974.12"
Eritrea,133,1.41%,0.05%,30.16,"101,000",133,0.05%,1.41%,"117,600",Asmara,Africa,Eastern Africa,,,$8.12 Bn,$5.41 Bn,"$2,288.5"
Lebanon,109,-0.44%,0.09%,653.03,"10,230",109,0.09%,-0.44%,"10,452",Beirut,Asia,Western Asia,,,$60.62 Bn,$50.46 Bn,"$8,881.47"
Venezuela,50,-0.28%,0.36%,31.03,"882,050",50,0.36%,-0.28%,"916,445",Caracas,Americas,South America,,Venezuela,$70.11 Bn,$291.38 Bn,"$2,465.4"
Sudan,,,,23.25,,34,0.56%,2.42%,"1,886,068",Khartoum,Africa,Northern Africa,,Sudan,-,$82.89 Bn,"$1,890.28"
Italy,23,-0.15%,0.78%,200.65,"294,140",23,0.78%,-0.15%,"301,336",Rome,Europe,Southern Europe,Italy,Italy,$2.09 Tn,$1.86 Tn,"$34,574.71"
Aruba,197,0.43%,0.00%,593.14,180,197,0.00%,0.43%,180,Oranjestad,Americas,Caribbean,,,$2.95 Bn,$2.67 Bn,"$27,649.25"
Egypt,14,1.94%,1.31%,102.08,"995,450",14,1.31%,1.94%,"1,002,450",Cairo,Africa,Northern Africa,,Egypt,$331.36 Bn,$270.14 Bn,"$3,238.01"
Sri Lanka,58,0.42%,0.27%,326.37,"62,710",58,0.27%,0.42%,"65,610",Colombo,Asia,Southern Asia,,,$89.94 Bn,$81.32 Bn,"$4,200.3"
Greece,87,-0.48%,0.13%,78.97,"128,900",87,0.13%,-0.48%,"131,990",Athens,Europe,Southern Europe,Greece,Greece,$230.50 Bn,$192.69 Bn,"$22,114.44"
United Kingdom,21,0.53%,0.87%,279.48,"241,930",21,0.87%,0.53%,"242,900",London,Europe,Northern Europe,United Kingdom,United Kingdom,$2.93 Tn,$2.65 Tn,"$43,117.57"
Afghanistan,37,2.33%,0.50%,59.68,"652,860",37,0.50%,2.33%,"652,230",Kabul,Asia,Southern Asia,,Afghanistan,$20.68 Bn,$20.24 Bn,$531.28
Botswana,145,2.08%,0.03%,4.04,"566,730",145,0.03%,2.08%,"582,000",Gaborone,Africa,Southern Africa,,,$20.87 Bn,$15.57 Bn,"$8,875.98"
Antigua and Barbuda,201,0.84%,0.00%,221.56,440,201,0.00%,0.84%,442,Saint John's,Americas,Caribbean,,Antigua and Barbuda,$1.81 Bn,$1.46 Bn,"$18,472.57"
Canada,39,0.89%,0.48%,3.78,"9,093,510",39,0.48%,0.89%,"9,984,670",Ottawa,Americas,Northern America,Canada,Canada,$1.83 Tn,$1.53 Tn,"$48,552.87"
DR Congo,16,3.19%,1.15%,38.19,"2,267,050",16,1.15%,3.19%,"2,344,858",Kinshasa,Africa,Middle Africa,,,$52.48 Bn,$40.34 Bn,$585.91
Estonia,155,0.07%,0.02%,29.33,"42,390",155,0.02%,0.07%,"45,227",Tallinn,Europe,Northern Europe,,,$33.23 Bn,$23.34 Bn,"$25,053.99"
Brunei,175,0.97%,0.01%,75.89,"5,270",175,0.01%,0.97%,"5,765",Bandar Seri Begawan,Asia,South-Eastern Asia,,,$14.28 Bn,$11.40 Bn,"$32,643.85"
