ScanningPosition;Siko;latitude_spos;longitude_spos
BKK 1.1;1;52.365253;13.507102
BKK 1.2;1;52.365253;13.507102
BKK 1.3 PRM;1;52.365253;13.507102
BKK 2.1;2;52.364360;13.506767
BKK 2.2;2;52.364360;13.506767
BKK 2.3;2;52.364360;13.506767
BKK 2.4;2;52.364360;13.506767
BKK 2.5 Fastlane;2;52.364360;13.506767
BKK 2.6 Fastlane;2;52.364360;13.506767
BKK 2.7 PRM;2;52.364360;13.506767
BKK 3.1 PRM;3;52.363964;13.506996
BKK 3.2 Fastlane;3;52.363964;13.506996
BKK 4.1 PRM;4;52.363282;13.507494
BKK 4.2 Fastlane;4;52.363282;13.507494
BKK 4.3 Fastlane;4;52.363282;13.507494
BKK 4.4;4;52.363282;13.507494
BKK 4.5;4;52.363282;13.507494
BKK 4.6;4;52.363282;13.507494
BKK 4.7;4;52.363282;13.507494
BKK 5.1;5;52.362887;13.508917
BKK 5.2;5;52.362887;13.508917
BKK 5.3;5;52.362887;13.508917
DTC Mitte;;;
DTC Nord 1;;;
DTC Nord 2;;;
DTC PAV Nord;;;
DTC PAV SÃ¼d;;;
DTC SÃ¼d 1;;;
DTC SÃ¼d 2;;;
DTC T2;;;
Messpunkt2;;;
THF Lounge Links;;;
THF Lounge rechts;;;
TXL Lounge rechts;;;
VIP;;;
